<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>
2020.04.02	05:30:23.152	0.0	0.0	0.0	0.00000000
2020.04.02	08:55:23.338	0.0	0.0	0.0	0.00000000
2020.04.02	09:00:02.322	5500.0	5220.0		
2020.04.02	09:00:09.916		5193.0		
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	50.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	15.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	30.00000000
2020.04.02	09:03:09.658			5257.5	15.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	30.00000000
2020.04.02	09:03:09.658			5257.5	50.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	50.00000000
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	20.00000000
2020.04.02	09:03:09.658			5257.5	15.00000000
2020.04.02	09:03:09.658			5257.5	30.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	25.00000000
2020.04.02	09:03:09.658			5257.5	25.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	100.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	10.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	5.00000000
2020.04.02	09:03:09.658			5257.5	15.00000000
2020.04.02	09:03:09.666			5257.0	10.00000000
2020.04.02	09:03:09.666			5257.0	5.00000000
2020.04.02	09:03:09.667			5257.0	5.00000000
2020.04.02	09:03:09.667			5257.0	10.00000000
2020.04.02	09:03:09.668			5257.0	5.00000000
2020.04.02	09:03:09.668			5257.0	5.00000000
2020.04.02	09:03:09.668			5257.0	5.00000000
2020.04.02	09:03:09.669			5257.0	55.00000000
2020.04.02	09:03:09.675			5256.0	5.00000000
2020.04.02	09:03:09.676			5255.5	5.00000000
2020.04.02	09:03:09.678			5255.0	10.00000000
2020.04.02	09:03:09.678			5255.0	5.00000000
2020.04.02	09:03:09.678			5255.0	5.00000000
2020.04.02	09:03:09.681			5254.5	5.00000000
2020.04.02	09:03:09.682			5253.5	5.00000000
2020.04.02	09:03:09.688			5253.0	5.00000000
2020.04.02	09:03:09.720	5257.0	5257.5		
2020.04.02	09:03:09.724	5256.0			
2020.04.02	09:03:09.727		5257.0		
2020.04.02	09:03:09.731		5256.5		
2020.04.02	09:03:09.731	5255.0			
2020.04.02	09:03:09.733		5256.0		
2020.04.02	09:03:09.735	5254.5			
2020.04.02	09:03:09.735		5255.5		
2020.04.02	09:03:09.740		5255.0		
2020.04.02	09:03:09.740	5253.5			
2020.04.02	09:03:09.740	5253.0			
2020.04.02	09:03:09.743		5254.5		
2020.04.02	09:03:09.745			5254.0	5.00000000
2020.04.02	09:03:09.745		5254.0		
2020.04.02	09:03:09.749	5252.5			
2020.04.02	09:03:09.749		5253.5		
2020.04.02	09:03:09.752			5254.5	5.00000000
2020.04.02	09:03:09.752			5254.5	5.00000000
2020.04.02	09:03:09.754	5253.0			
2020.04.02	09:03:09.756		5254.0		
2020.04.02	09:03:09.756		5254.5		
2020.04.02	09:03:09.758		5255.0		
2020.04.02	09:03:09.778			5254.5	5.00000000
2020.04.02	09:03:09.851			5255.5	5.00000000
2020.04.02	09:03:09.999			5255.5	5.00000000
2020.04.02	09:03:10.021			5255.0	5.00000000
2020.04.02	09:03:10.082		5255.5		
2020.04.02	09:03:10.106	5253.5			
2020.04.02	09:03:10.106	5254.0			
2020.04.02	09:03:10.118		5256.0		
2020.04.02	09:03:10.118	5254.5			
2020.04.02	09:03:10.121	5254.0			
2020.04.02	09:03:10.446		5255.5		
2020.04.02	09:03:10.788			5255.5	5.00000000
2020.04.02	09:03:10.788			5255.5	5.00000000
2020.04.02	09:03:10.790			5255.5	10.00000000
2020.04.02	09:03:10.860	5254.5			
2020.04.02	09:03:10.864		5256.0		
2020.04.02	09:03:10.864	5255.0			
2020.04.02	09:03:10.864		5256.5		
2020.04.02	09:03:11.427			5256.5	5.00000000
2020.04.02	09:03:11.594		5256.0		
2020.04.02	09:03:11.596		5256.5		
2020.04.02	09:03:11.597		5256.0		
2020.04.02	09:03:11.597		5256.5		
2020.04.02	09:03:12.046			5256.5	5.00000000
2020.04.02	09:03:12.361	5255.5			
2020.04.02	09:03:12.361		5257.0		
2020.04.02	09:03:12.361		5257.5		
2020.04.02	09:03:12.365	5256.0			
2020.04.02	09:03:12.369	5256.5			
2020.04.02	09:03:12.406			5256.5	20.00000000
2020.04.02	09:03:12.407			5256.5	20.00000000
2020.04.02	09:03:12.407			5256.5	10.00000000
2020.04.02	09:03:12.407			5257.0	5.00000000
2020.04.02	09:03:12.407			5257.0	5.00000000
2020.04.02	09:03:12.407			5257.0	5.00000000
2020.04.02	09:03:12.407			5257.5	5.00000000
2020.04.02	09:03:12.407			5257.5	20.00000000
2020.04.02	09:03:12.733	5256.0			
2020.04.02	09:03:12.745	5256.5			
2020.04.02	09:03:12.752			5257.5	10.00000000
2020.04.02	09:03:12.752			5257.5	10.00000000
2020.04.02	09:03:12.752			5257.5	10.00000000
2020.04.02	09:03:12.756			5257.0	5.00000000
2020.04.02	09:03:13.027			5257.5	5.00000000
2020.04.02	09:03:13.227			5257.5	5.00000000
2020.04.02	09:03:14.634			5257.0	5.00000000
2020.04.02	09:03:17.671	5257.0			
2020.04.02	09:03:18.048	5256.5			
2020.04.02	09:03:19.020			5256.5	5.00000000
2020.04.02	09:03:19.020			5256.5	10.00000000
2020.04.02	09:03:19.890			5257.5	5.00000000
2020.04.02	09:03:19.948	5257.0			
2020.04.02	09:03:20.151			5256.5	5.00000000
2020.04.02	09:03:20.151			5256.5	5.00000000
2020.04.02	09:03:20.332	5256.5			
2020.04.02	09:03:20.334		5257.0		
2020.04.02	09:03:20.339	5256.0			
2020.04.02	09:03:20.344	5255.5			
2020.04.02	09:03:21.246			5255.5	5.00000000
2020.04.02	09:03:21.246			5255.5	5.00000000
2020.04.02	09:03:21.472		5256.5		
2020.04.02	09:03:21.472		5256.0		
2020.04.02	09:03:21.476		5257.0		
2020.04.02	09:03:21.492			5256.0	5.00000000
2020.04.02	09:03:21.847		5256.5		
2020.04.02	09:03:22.101			5255.5	5.00000000
2020.04.02	09:03:22.101			5255.5	5.00000000
2020.04.02	09:03:22.101			5255.5	5.00000000
2020.04.02	09:03:22.101			5255.5	5.00000000
2020.04.02	09:03:22.173			5255.5	5.00000000
2020.04.02	09:03:22.173			5255.5	5.00000000
2020.04.02	09:03:22.234		5256.0		
2020.04.02	09:03:22.234	5255.0			
2020.04.02	09:03:22.236	5254.5			
2020.04.02	09:03:22.236	5254.0			
2020.04.02	09:03:22.240		5255.5		
2020.04.02	09:03:22.607			5254.0	5.00000000
2020.04.02	09:03:22.607			5254.0	5.00000000
2020.04.02	09:03:22.607			5254.0	5.00000000
2020.04.02	09:03:22.611		5255.0		
2020.04.02	09:03:23.492			5255.0	5.00000000
2020.04.02	09:03:23.492			5255.0	5.00000000
2020.04.02	09:03:23.492			5255.0	5.00000000
2020.04.02	09:03:23.496			5255.0	5.00000000
2020.04.02	09:03:23.497			5255.0	5.00000000
2020.04.02	09:03:23.654			5256.0	5.00000000
2020.04.02	09:03:23.754		5255.5		
2020.04.02	09:03:23.754	5255.0			
2020.04.02	09:03:23.760		5256.0		
2020.04.02	09:03:23.772		5256.5		
2020.04.02	09:03:23.772		5256.0		
2020.04.02	09:03:23.966			5256.0	5.00000000
2020.04.02	09:03:24.459			5256.0	5.00000000
2020.04.02	09:03:24.459			5256.0	5.00000000
2020.04.02	09:03:24.513		5256.5		
2020.04.02	09:03:24.515		5256.0		
