<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	08:00:00	2698.000	2727.500	2694.000	2713.000	11552	186245	0
2015.01.02	16:00:00	2713.000	2718.000	2703.500	2718.000	1448	31535	500
2015.01.05	08:00:00	2730.000	2749.000	2721.500	2746.000	12887	238175	0
2015.01.05	16:00:00	2745.500	2746.000	2723.500	2725.000	3403	55900	500
2015.01.06	08:00:00	2730.000	2741.000	2709.000	2716.000	15342	243015	0
2015.01.06	16:00:00	2716.000	2724.000	2712.000	2719.500	3114	52085	500
2015.01.07	08:00:00	2706.500	2723.000	2691.000	2712.000	15631	239060	0
2015.01.07	16:00:00	2712.000	2728.000	2698.500	2701.000	3987	60585	0
2015.01.08	08:00:00	2689.000	2719.500	2678.500	2687.500	18275	275455	0
2015.01.08	16:00:00	2687.000	2691.000	2679.500	2681.500	2770	37060	500
2015.01.09	08:00:00	2682.500	2690.000	2643.500	2656.500	20824	291220	0
2015.01.09	16:00:00	2656.500	2658.500	2647.000	2647.000	2650	37545	500
2015.01.12	08:00:00	2656.000	2690.000	2648.000	2677.500	14880	241400	0
2015.01.12	16:00:00	2678.000	2690.000	2675.500	2689.500	2242	39795	0
2015.01.13	08:00:00	2690.000	2697.000	2643.000	2646.500	20702	275305	0
2015.01.13	16:00:00	2646.500	2659.500	2641.500	2659.500	4987	78200	500
2015.01.14	08:00:00	2665.000	2666.000	2617.000	2628.000	19963	257290	0
2015.01.14	16:00:00	2628.000	2636.000	2627.000	2629.000	3169	46230	500
2015.01.15	08:00:00	2634.000	2648.500	2607.500	2644.000	25923	329585	0
2015.01.15	16:00:00	2644.000	2655.500	2639.500	2653.500	3390	74345	0
2015.01.16	08:00:00	2649.500	2651.500	2624.000	2629.500	17162	194295	0
2015.01.16	16:00:00	2629.500	2633.500	2624.000	2631.500	2412	40440	500
2015.01.19	08:00:00	2637.000	2654.000	2627.500	2652.000	8726	103565	0
2015.01.19	16:00:00	2651.000	2674.000	2649.500	2662.000	2879	48835	500
2015.01.20	08:00:00	2655.500	2661.000	2616.500	2625.000	20724	278670	0
2015.01.20	16:00:00	2625.500	2627.000	2620.000	2622.000	2478	29270	500
2015.01.21	08:00:00	2615.500	2619.000	2592.500	2617.000	22232	283585	0
2015.01.21	16:00:00	2616.500	2618.500	2608.000	2608.500	3233	44955	500
2015.01.22	08:00:00	2593.500	2598.000	2556.000	2576.500	22829	344280	0
2015.01.22	16:00:00	2576.500	2585.500	2575.500	2580.500	3292	50455	500
2015.01.23	08:00:00	2592.500	2604.000	2576.000	2588.000	19575	288790	0
2015.01.23	16:00:00	2587.500	2596.000	2585.000	2586.000	2321	33950	500
2015.01.26	08:00:00	2590.000	2613.500	2586.000	2593.000	14516	190835	0
2015.01.26	16:00:00	2593.000	2596.000	2587.000	2588.500	1944	27545	0
2015.01.27	08:00:00	2595.500	2602.500	2568.500	2580.000	16180	228065	0
2015.01.27	16:00:00	2580.000	2580.000	2570.000	2576.000	2268	33305	500
2015.01.28	08:00:00	2574.000	2593.000	2571.000	2580.500	15218	231290	0
2015.01.28	16:00:00	2580.500	2582.500	2568.000	2579.000	4176	54895	500
2015.01.29	08:00:00	2590.500	2618.500	2588.000	2614.000	19911	263430	0
2015.01.29	16:00:00	2614.000	2615.000	2605.000	2606.000	2622	58405	0
2015.01.30	08:00:00	2632.500	2711.500	2628.000	2703.500	32704	432385	0
2015.01.30	16:00:00	2703.500	2714.000	2697.000	2702.000	4575	77565	500
2015.02.02	08:00:00	2695.000	2734.000	2686.500	2729.000	19944	238750	0
2015.02.02	16:00:00	2729.000	2748.500	2728.000	2746.000	3826	71805	500
2015.02.03	08:00:00	2735.000	2739.500	2711.500	2727.000	21688	254505	0
2015.02.03	16:00:00	2727.500	2731.500	2707.000	2713.500	5953	76580	0
2015.02.04	08:00:00	2721.500	2766.000	2712.500	2764.500	22052	281000	0
2015.02.04	16:00:00	2765.000	2766.000	2758.500	2759.500	2925	57340	500
2015.02.05	08:00:00	2748.000	2779.000	2739.000	2754.000	21635	273430	0
2015.02.05	16:00:00	2754.000	2763.000	2748.000	2762.000	3084	58190	500
2015.02.06	08:00:00	2760.000	2800.000	2760.000	2789.500	24897	298415	0
2015.02.06	16:00:00	2789.000	2799.000	2786.000	2798.500	2453	45485	0
2015.02.09	08:00:00	2802.000	2812.000	2788.500	2793.500	20856	248685	0
2015.02.09	16:00:00	2793.500	2797.000	2784.500	2785.000	3069	51295	500
2015.02.10	08:00:00	2792.000	2852.500	2791.000	2836.000	26105	332210	0
2015.02.10	16:00:00	2836.000	2853.000	2834.500	2846.000	3730	48935	500
2015.02.11	08:00:00	2860.500	2895.500	2859.500	2890.000	28473	340630	0
2015.02.11	16:00:00	2890.500	2890.500	2876.500	2882.000	3597	51095	500
2015.02.12	08:00:00	2873.500	2890.000	2829.000	2836.000	27013	320110	0
2015.02.12	16:00:00	2836.500	2843.000	2829.500	2835.000	3414	44480	0
2015.02.13	08:00:00	2840.500	2868.500	2825.000	2844.000	21912	289425	0
2015.02.13	16:00:00	2844.000	2847.500	2836.500	2844.500	2931	52080	500
2015.02.18	08:00:00	2853.000	2858.000	2845.500	2849.500	7943	90745	0
2015.02.18	16:00:00	2849.000	2854.500	2836.500	2844.000	4142	53040	500
2015.02.19	08:00:00	2851.500	2877.000	2846.000	2875.000	19627	262210	0
2015.02.19	16:00:00	2875.000	2876.500	2871.500	2876.000	2024	31815	500
2015.02.20	08:00:00	2872.000	2892.000	2860.500	2882.500	19038	221225	0
2015.02.20	16:00:00	2882.000	2885.000	2872.500	2875.000	2950	39210	500
2015.02.23	08:00:00	2892.000	2909.000	2867.500	2878.000	20162	232230	0
2015.02.23	16:00:00	2878.000	2886.500	2877.000	2884.000	2418	27210	0
2015.02.24	08:00:00	2884.000	2895.000	2833.000	2836.500	29915	346340	0
2015.02.24	16:00:00	2836.500	2841.500	2830.000	2833.000	3516	56785	500
