<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	2698.000	2713.000	2694.000	2709.500	613	8040	500
2015.01.02	09:30:00	2710.000	2713.000	2697.500	2697.500	660	7575	500
2015.01.02	10:00:00	2697.500	2703.000	2694.500	2698.000	785	14505	500
2015.01.02	10:30:00	2698.000	2707.500	2698.000	2704.000	782	18125	500
2015.01.02	11:00:00	2703.500	2722.000	2703.500	2712.500	1148	12880	500
2015.01.02	11:30:00	2712.500	2725.500	2712.000	2725.500	1172	14165	500
2015.01.02	12:00:00	2726.000	2727.500	2718.000	2719.000	941	12985	500
2015.01.02	12:30:00	2719.500	2727.500	2719.500	2723.500	677	12640	500
2015.01.02	13:00:00	2723.000	2723.500	2714.500	2717.500	842	13450	500
2015.01.02	13:30:00	2718.000	2722.500	2710.000	2711.000	924	27150	500
2015.01.02	14:00:00	2710.500	2714.500	2703.500	2709.000	1296	16870	500
2015.01.02	14:30:00	2709.000	2717.000	2709.000	2716.500	865	7940	500
2015.01.02	15:00:00	2716.500	2717.000	2713.500	2716.000	352	10300	500
2015.01.02	15:30:00	2716.500	2717.000	2712.000	2713.000	495	9620	0
2015.01.02	16:00:00	2713.000	2715.500	2709.000	2712.000	401	11005	500
2015.01.02	16:30:00	2712.500	2713.500	2703.500	2711.500	408	9425	500
2015.01.02	17:00:00	2711.000	2712.500	2708.000	2712.000	329	4180	500
2015.01.02	17:30:00	2711.500	2718.000	2710.000	2718.000	310	6925	500
2015.01.05	09:00:00	2730.000	2737.500	2727.000	2729.000	922	11130	500
2015.01.05	09:30:00	2730.000	2732.000	2721.500	2723.000	815	14560	500
2015.01.05	10:00:00	2723.500	2731.000	2723.000	2725.500	981	13590	500
2015.01.05	10:30:00	2726.000	2732.500	2725.500	2730.500	852	13120	500
2015.01.05	11:00:00	2730.500	2735.000	2728.500	2731.500	1084	22510	500
2015.01.05	11:30:00	2731.500	2731.500	2728.500	2730.000	1126	23320	500
