<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	08:00:00	8442.00	8474.00	8377.00	8397.00	205	205	0
2019.01.02	08:05:00	8394.00	8395.00	8381.00	8382.00	26	26	0
2019.01.02	08:10:00	8381.00	8385.00	8379.00	8380.00	32	32	0
2019.01.02	08:15:00	8382.00	8386.00	8378.00	8383.00	34	34	0
2019.01.02	08:20:00	8382.00	8396.00	8381.00	8396.00	43	43	0
2019.01.02	08:25:00	8394.00	8396.00	8387.00	8389.00	36	36	0
2019.01.02	08:30:00	8389.00	8390.00	8378.00	8384.00	33	33	0
2019.01.02	08:35:00	8383.00	8391.00	8383.00	8386.00	25	25	0
2019.01.02	08:40:00	8386.00	8389.00	8379.00	8389.00	25	25	0
2019.01.02	08:45:00	8388.00	8390.00	8382.00	8387.00	37	37	0
2019.01.02	08:50:00	8388.00	8388.00	8382.00	8386.00	27	27	0
2019.01.02	08:55:00	8387.00	8399.00	8383.00	8396.00	38	38	0
2019.01.02	09:00:00	8396.00	8396.00	8356.00	8372.00	100	100	0
2019.01.02	09:05:00	8371.00	8381.00	8364.00	8376.00	86	86	0
2019.01.02	09:10:00	8377.00	8379.00	8346.00	8354.00	95	95	0
2019.01.02	09:15:00	8353.00	8354.00	8329.00	8336.00	83	83	0
2019.01.02	09:20:00	8335.00	8338.00	8322.00	8329.00	77	77	0
2019.01.02	09:25:00	8330.00	8340.00	8330.00	8337.00	46	46	0
2019.01.02	09:30:00	8338.00	8339.00	8321.00	8337.00	79	79	0
2019.01.02	09:35:00	8337.00	8359.00	8331.00	8349.00	74	74	0
2019.01.02	09:40:00	8347.00	8350.00	8329.00	8329.00	54	54	0
2019.01.02	09:45:00	8329.00	8350.00	8329.00	8344.00	69	69	0
2019.01.02	09:50:00	8344.00	8351.00	8334.00	8341.00	63	63	0
2019.01.02	09:55:00	8343.00	8354.00	8336.00	8354.00	55	55	0
2019.01.02	10:00:00	8355.00	8361.00	8341.00	8360.00	64	64	0
2019.01.02	10:05:00	8359.00	8378.00	8353.00	8378.00	64	64	0
2019.01.02	10:10:00	8376.00	8383.00	8369.00	8372.00	58	58	0
2019.01.02	10:15:00	8372.00	8379.00	8364.00	8375.00	61	61	0
2019.01.02	10:20:00	8374.00	8394.00	8371.00	8385.00	58	58	0
2019.01.02	10:25:00	8384.00	8395.00	8383.00	8392.00	49	49	0
2019.01.02	10:30:00	8392.00	8395.00	8384.00	8394.00	58	58	0
2019.01.02	10:35:00	8393.00	8395.00	8375.00	8380.00	53	53	0
2019.01.02	10:40:00	8379.00	8379.00	8363.00	8365.00	53	53	0
2019.01.02	10:45:00	8363.00	8373.00	8361.00	8371.00	42	42	0
2019.01.02	10:50:00	8371.00	8377.00	8365.00	8374.00	45	45	0
2019.01.02	10:55:00	8374.00	8384.00	8374.00	8374.00	51	51	0
2019.01.02	11:00:00	8375.00	8377.00	8369.00	8374.00	37	37	0
2019.01.02	11:05:00	8374.00	8376.00	8371.00	8373.00	28	28	0
2019.01.02	11:10:00	8373.00	8375.00	8364.00	8366.00	37	37	0
2019.01.02	11:15:00	8365.00	8379.00	8361.00	8371.00	44	44	0
2019.01.02	11:20:00	8370.00	8379.00	8369.00	8372.00	35	35	0
2019.01.02	11:25:00	8371.00	8371.00	8361.00	8361.00	34	34	0
2019.01.02	11:30:00	8361.00	8373.00	8360.00	8370.00	46	46	0
2019.01.02	11:35:00	8371.00	8376.00	8367.00	8375.00	43	43	0
2019.01.02	11:40:00	8374.00	8374.00	8367.00	8369.00	31	31	0
2019.01.02	11:45:00	8368.00	8375.00	8363.00	8373.00	37	37	0
2019.01.02	11:50:00	8374.00	8391.00	8374.00	8384.00	52	52	0
2019.01.02	11:55:00	8385.00	8386.00	8375.00	8375.00	29	29	0
2019.01.02	12:00:00	8374.00	8385.00	8371.00	8383.00	38	38	0
2019.01.02	12:05:00	8384.00	8390.00	8383.00	8388.00	42	42	0
2019.01.02	12:10:00	8386.00	8399.00	8386.00	8392.00	46	46	0
2019.01.02	12:15:00	8392.00	8399.00	8392.00	8394.00	32	32	0
2019.01.02	12:20:00	8395.00	8402.00	8393.00	8399.00	36	36	0
2019.01.02	12:25:00	8398.00	8400.00	8392.00	8398.00	33	33	0
2019.01.02	12:30:00	8398.00	8407.00	8398.00	8405.00	29	29	0
2019.01.02	12:35:00	8405.00	8406.00	8396.00	8396.00	32	32	0
2019.01.02	12:40:00	8396.00	8400.00	8395.00	8397.00	24	24	0
2019.01.02	12:45:00	8396.00	8402.00	8392.00	8400.00	27	27	0
2019.01.02	12:50:00	8400.00	8408.00	8400.00	8404.00	26	26	0
2019.01.02	12:55:00	8404.00	8405.00	8396.00	8400.00	30	30	0
2019.01.02	13:00:00	8400.00	8406.00	8398.00	8405.00	36	36	0
2019.01.02	13:05:00	8405.00	8419.00	8405.00	8416.00	39	39	0
2019.01.02	13:10:00	8416.00	8424.00	8416.00	8422.00	39	39	0
2019.01.02	13:15:00	8422.00	8424.00	8414.00	8417.00	35	35	0
2019.01.02	13:20:00	8418.00	8427.00	8415.00	8426.00	29	29	0
2019.01.02	13:25:00	8426.00	8426.00	8422.00	8422.00	18	18	0
2019.01.02	13:30:00	8423.00	8425.00	8413.00	8418.00	42	42	0
2019.01.02	13:35:00	8418.00	8423.00	8416.00	8420.00	23	23	0
2019.01.02	13:40:00	8421.00	8429.00	8419.00	8427.00	30	30	0
2019.01.02	13:45:00	8427.00	8429.00	8425.00	8429.00	27	27	0
2019.01.02	13:50:00	8429.00	8438.00	8428.00	8431.00	35	35	0
2019.01.02	13:55:00	8432.00	8437.00	8432.00	8435.00	29	29	0
2019.01.02	14:00:00	8433.00	8445.00	8433.00	8443.00	39	39	0
2019.01.02	14:05:00	8443.00	8443.00	8436.00	8437.00	30	30	0
2019.01.02	14:10:00	8436.00	8445.00	8436.00	8444.00	23	23	0
2019.01.02	14:15:00	8443.00	8448.00	8441.00	8448.00	30	30	0
2019.01.02	14:20:00	8447.00	8448.00	8439.00	8440.00	32	32	0
2019.01.02	14:25:00	8440.00	8441.00	8425.00	8429.00	48	48	0
2019.01.02	14:30:00	8430.00	8432.00	8425.00	8430.00	32	32	0
2019.01.02	14:35:00	8431.00	8434.00	8430.00	8430.00	31	31	0
