<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	12:05:00	3.8860	3.8865	3.8809	3.8815	328	0	100
2019.01.02	12:10:00	3.8813	3.8871	3.8770	3.8831	402	0	100
2019.01.02	12:15:00	3.8828	3.8841	3.8760	3.8765	368	0	100
2019.01.02	12:20:00	3.8766	3.8786	3.8712	3.8728	405	0	100
2019.01.02	12:25:00	3.8725	3.8761	3.8705	3.8736	367	0	100
2019.01.02	12:30:00	3.8733	3.8751	3.8700	3.8740	327	0	100
2019.01.02	12:35:00	3.8741	3.8753	3.8693	3.8693	335	0	100
2019.01.02	12:40:00	3.8695	3.8728	3.8685	3.8712	307	0	100
2019.01.02	12:45:00	3.8714	3.8756	3.8710	3.8756	406	0	100
2019.01.02	12:50:00	3.8754	3.8756	3.8702	3.8719	362	0	100
2019.01.02	12:55:00	3.8719	3.8782	3.8714	3.8781	301	0	100
2019.01.02	13:00:00	3.8782	3.8787	3.8736	3.8753	247	0	100
2019.01.02	13:05:00	3.8750	3.8786	3.8744	3.8752	312	0	100
2019.01.02	13:10:00	3.8755	3.8776	3.8718	3.8734	281	0	100
2019.01.02	13:15:00	3.8733	3.8744	3.8708	3.8711	319	0	100
2019.01.02	13:20:00	3.8708	3.8736	3.8703	3.8733	332	0	100
2019.01.02	13:25:00	3.8728	3.8776	3.8726	3.8773	248	0	100
2019.01.02	13:30:00	3.8776	3.8829	3.8761	3.8818	355	0	100
2019.01.02	13:35:00	3.8821	3.8821	3.8781	3.8783	269	0	100
2019.01.02	13:40:00	3.8784	3.8788	3.8728	3.8735	271	0	100
2019.01.02	13:45:00	3.8733	3.8761	3.8716	3.8718	342	0	100
2019.01.02	13:50:00	3.8717	3.8751	3.8708	3.8711	352	0	100
2019.01.02	13:55:00	3.8711	3.8717	3.8637	3.8648	499	0	100
2019.01.02	14:00:00	3.8650	3.8656	3.8596	3.8596	413	0	100
2019.01.02	14:05:00	3.8601	3.8617	3.8582	3.8608	345	0	100
2019.01.02	14:10:00	3.8609	3.8609	3.8477	3.8492	451	0	100
2019.01.02	14:15:00	3.8496	3.8514	3.8442	3.8443	524	0	100
2019.01.02	14:20:00	3.8446	3.8463	3.8377	3.8393	532	0	100
2019.01.02	14:25:00	3.8392	3.8434	3.8377	3.8419	555	0	100
2019.01.02	14:30:00	3.8417	3.8431	3.8387	3.8422	489	0	100
2019.01.02	14:35:00	3.8423	3.8436	3.8387	3.8407	376	0	100
2019.01.02	14:40:00	3.8407	3.8434	3.8395	3.8399	317	0	100
2019.01.02	14:45:00	3.8398	3.8409	3.8344	3.8374	343	0	100
2019.01.02	14:50:00	3.8375	3.8404	3.8362	3.8388	394	0	100
2019.01.02	14:55:00	3.8388	3.8424	3.8375	3.8421	312	0	100
2019.01.02	15:00:00	3.8422	3.8424	3.8395	3.8408	253	0	100
2019.01.02	15:05:00	3.8412	3.8424	3.8401	3.8419	343	0	100
2019.01.02	15:10:00	3.8415	3.8467	3.8385	3.8457	383	0	100
2019.01.02	15:15:00	3.8457	3.8474	3.8445	3.8454	302	0	100
2019.01.02	15:20:00	3.8457	3.8464	3.8430	3.8452	274	0	100
2019.01.02	15:25:00	3.8453	3.8464	3.8442	3.8452	178	0	100
2019.01.02	15:30:00	3.8451	3.8472	3.8430	3.8448	387	0	100
2019.01.02	15:35:00	3.8439	3.8470	3.8391	3.8391	340	0	100
2019.01.02	15:40:00	3.8390	3.8469	3.8385	3.8454	386	0	100
