<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	09:00:00	3306.000	3306.000	3294.000	3296.500	4377	14822	500
2018.01.02	09:05:00	3296.500	3303.000	3296.500	3302.000	3419	10452	500
2018.01.02	09:10:00	3302.000	3302.500	3299.000	3299.500	2210	6665	500
2018.01.02	09:15:00	3299.500	3300.000	3295.500	3297.500	3387	11054	500
2018.01.02	09:20:00	3297.500	3300.500	3296.500	3298.500	2404	7842	500
2018.01.02	09:25:00	3298.500	3300.000	3298.000	3299.000	1188	4458	500
2018.01.02	09:30:00	3299.000	3299.000	3295.000	3295.500	1924	6232	0
2018.01.02	09:35:00	3295.000	3296.000	3293.500	3294.500	2550	8429	500
2018.01.02	09:40:00	3294.500	3295.000	3292.500	3292.500	1911	5939	500
2018.01.02	09:45:00	3292.500	3293.500	3291.500	3292.500	1969	6665	500
2018.01.02	09:50:00	3292.500	3293.500	3289.000	3289.500	3188	11242	500
2018.01.02	09:55:00	3289.500	3291.500	3288.500	3291.000	1754	6797	500
2018.01.02	10:00:00	3291.500	3292.500	3290.500	3291.500	1624	5120	500
2018.01.02	10:05:00	3291.500	3291.500	3289.000	3289.500	1797	6139	500
2018.01.02	10:10:00	3289.000	3290.500	3289.000	3290.500	812	2343	500
2018.01.02	10:15:00	3290.500	3291.000	3288.000	3288.500	2319	7826	500
2018.01.02	10:20:00	3288.500	3288.500	3284.500	3285.500	4576	15884	500
2018.01.02	10:25:00	3285.000	3286.500	3282.500	3283.500	2785	9789	500
2018.01.02	10:30:00	3284.000	3286.500	3282.500	3285.500	2672	8921	500
2018.01.02	10:35:00	3286.000	3286.500	3285.000	3286.500	1163	3852	500
2018.01.02	10:40:00	3286.000	3286.500	3285.000	3285.500	751	2446	500
2018.01.02	10:45:00	3286.000	3286.000	3284.500	3285.000	994	3404	500
2018.01.02	10:50:00	3285.000	3285.500	3282.500	3283.500	1487	5284	500
2018.01.02	10:55:00	3283.500	3284.500	3281.000	3283.500	3331	11148	500
2018.01.02	11:00:00	3284.000	3284.500	3282.500	3283.500	1192	4931	500
2018.01.02	11:05:00	3283.500	3285.500	3283.500	3285.000	1713	5533	500
2018.01.02	11:10:00	3285.500	3286.000	3284.000	3284.500	1330	4452	500
2018.01.02	11:15:00	3285.000	3285.000	3283.000	3283.500	1192	3801	500
2018.01.02	11:20:00	3283.500	3284.500	3281.000	3282.500	1973	6023	500
2018.01.02	11:25:00	3282.500	3283.500	3279.000	3280.000	3197	10204	500
2018.01.02	11:30:00	3280.500	3280.500	3277.500	3279.000	2350	8518	500
2018.01.02	11:35:00	3279.500	3280.500	3278.000	3279.000	1265	3832	500
2018.01.02	11:40:00	3279.000	3280.000	3277.000	3279.000	1660	5460	500
2018.01.02	11:45:00	3279.000	3279.000	3276.500	3279.000	1618	5178	500
2018.01.02	11:50:00	3278.500	3279.000	3277.500	3278.500	785	2891	500
2018.01.02	11:55:00	3278.500	3279.500	3276.000	3276.500	2024	7313	500
2018.01.02	12:00:00	3276.500	3278.500	3274.000	3277.000	3489	12191	500
2018.01.02	12:05:00	3277.000	3278.500	3275.000	3278.000	1809	5964	500
2018.01.02	12:10:00	3278.000	3279.500	3277.500	3278.500	1648	5182	500
2018.01.02	12:15:00	3279.000	3279.000	3276.000	3278.000	1118	3447	500
2018.01.02	12:20:00	3278.000	3280.500	3277.500	3279.500	1183	4169	500
2018.01.02	12:25:00	3279.000	3280.000	3278.000	3278.000	885	3295	500
2018.01.02	12:30:00	3278.500	3280.500	3278.500	3279.000	1511	5748	500
2018.01.02	12:35:00	3279.000	3280.500	3278.000	3278.000	1281	4499	500
2018.01.02	12:40:00	3278.000	3280.000	3278.000	3280.000	973	3401	500
2018.01.02	12:45:00	3279.500	3280.500	3279.000	3279.500	730	2698	500
2018.01.02	12:50:00	3279.500	3280.000	3276.500	3277.000	1401	4866	500
2018.01.02	12:55:00	3277.000	3277.000	3274.000	3275.000	2643	9565	500
2018.01.02	13:00:00	3275.000	3275.500	3273.000	3275.000	2051	7338	500
2018.01.02	13:05:00	3275.000	3275.000	3271.500	3273.500	2761	11504	500
2018.01.02	13:10:00	3273.500	3274.500	3272.000	3274.500	939	3419	500
2018.01.02	13:15:00	3274.500	3276.000	3274.000	3274.500	1435	5389	500
2018.01.02	13:20:00	3275.000	3278.000	3274.000	3277.500	1781	7080	500
2018.01.02	13:25:00	3277.500	3279.000	3277.000	3278.500	1693	7379	500
2018.01.02	13:30:00	3278.500	3281.000	3278.500	3279.000	1770	6787	500
2018.01.02	13:35:00	3279.000	3279.500	3275.500	3275.500	1897	7337	500
2018.01.02	13:40:00	3276.000	3277.000	3275.000	3277.000	1034	3896	500
2018.01.02	13:45:00	3276.500	3278.500	3275.500	3277.500	1144	4203	500
2018.01.02	13:50:00	3277.500	3278.500	3276.000	3276.000	648	2314	500
2018.01.02	13:55:00	3276.000	3276.500	3273.500	3274.500	2531	11969	500
2018.01.02	14:00:00	3274.500	3275.500	3272.000	3273.500	2014	8768	500
2018.01.02	14:05:00	3273.500	3274.000	3272.500	3273.000	685	2880	500
2018.01.02	14:10:00	3272.500	3274.500	3272.500	3273.500	694	2411	500
2018.01.02	14:15:00	3273.500	3274.000	3270.500	3270.500	1681	5834	500
2018.01.02	14:20:00	3270.500	3274.000	3270.500	3273.500	1289	4601	500
2018.01.02	14:25:00	3273.500	3274.500	3273.000	3274.000	875	3790	500
2018.01.02	14:30:00	3274.000	3275.000	3273.000	3274.500	877	3076	500
2018.01.02	14:35:00	3274.500	3276.500	3274.000	3274.000	1352	4974	500
2018.01.02	14:40:00	3274.000	3274.500	3272.500	3273.500	1263	4502	500
2018.01.02	14:45:00	3273.500	3274.500	3272.500	3272.500	628	2330	500
2018.01.02	14:50:00	3272.500	3273.500	3272.000	3273.000	795	3051	500
2018.01.02	14:55:00	3273.000	3275.000	3272.500	3275.000	1161	4020	500
2018.01.02	15:00:00	3275.000	3276.500	3273.500	3275.000	1389	4706	500
2018.01.02	15:05:00	3275.000	3275.500	3272.500	3273.000	1049	3602	500
2018.01.02	15:10:00	3272.500	3273.500	3269.000	3272.000	3279	11480	500
2018.01.02	15:15:00	3271.500	3273.000	3271.000	3273.000	532	1817	500
2018.01.02	15:20:00	3273.000	3273.500	3271.500	3271.500	751	2489	500
2018.01.02	15:25:00	3271.500	3273.000	3270.500	3272.500	876	3424	500
2018.01.02	15:30:00	3272.500	3273.000	3268.500	3271.500	1829	7334	500
2018.01.02	15:35:00	3271.500	3272.000	3270.000	3270.500	772	3269	500
2018.01.02	15:40:00	3271.000	3271.000	3269.000	3270.500	1320	5557	500
2018.01.02	15:45:00	3270.500	3270.500	3269.000	3270.000	709	2791	500
2018.01.02	15:50:00	3270.000	3272.000	3269.500	3272.000	1109	4324	500
2018.01.02	15:55:00	3271.500	3272.500	3269.500	3270.000	1029	3299	500
2018.01.02	16:00:00	3270.500	3272.500	3270.000	3272.000	1142	4230	500
2018.01.02	16:05:00	3272.000	3273.500	3272.000	3273.000	805	2524	500
2018.01.02	16:10:00	3273.500	3275.000	3271.500	3274.500	1365	4329	500
2018.01.02	16:15:00	3275.000	3275.000	3274.000	3274.000	647	2138	500
2018.01.02	16:20:00	3274.000	3275.500	3273.000	3273.500	1002	2992	0
2018.01.02	16:25:00	3273.000	3274.000	3272.000	3272.000	927	3825	500
2018.01.02	16:30:00	3272.000	3273.500	3272.000	3273.000	470	1744	500
2018.01.02	16:35:00	3273.000	3273.000	3270.500	3270.500	846	3292	500
2018.01.02	16:40:00	3271.000	3271.500	3270.000	3270.000	611	1868	500
2018.01.02	16:45:00	3270.000	3271.500	3269.000	3271.500	1178	4167	500
2018.01.02	16:50:00	3271.500	3272.500	3271.000	3272.000	703	2589	500
2018.01.02	16:55:00	3272.000	3273.000	3270.500	3271.000	593	2485	500
2018.01.02	17:00:00	3271.000	3271.000	3268.500	3269.000	1162	4342	500
2018.01.02	17:05:00	3269.500	3271.000	3269.000	3270.500	503	1617	500
2018.01.02	17:10:00	3270.500	3270.500	3269.000	3269.500	273	782	500
2018.01.02	17:15:00	3270.000	3272.000	3269.500	3272.000	573	2049	500
2018.01.02	17:20:00	3271.500	3274.000	3271.000	3274.000	1182	5831	500
2018.01.02	17:25:00	3273.500	3274.000	3272.000	3273.000	779	3605	500
2018.01.02	17:30:00	3273.500	3274.000	3272.000	3273.500	674	3192	500
2018.01.02	17:35:00	3273.500	3275.500	3273.500	3274.500	664	2552	500
2018.01.02	17:40:00	3274.500	3275.000	3273.000	3274.000	601	2158	500
2018.01.02	17:45:00	3274.000	3275.000	3273.000	3274.500	416	1333	500
2018.01.02	17:50:00	3274.000	3275.000	3272.500	3272.500	531	2000	500
2018.01.02	17:55:00	3273.000	3273.500	3269.500	3272.500	633	2931	500
2018.01.02	18:00:00	3273.000	3274.000	3272.000	3272.500	163	666	500
2018.01.02	18:05:00	3272.500	3273.000	3271.000	3272.500	249	814	500
2018.01.02	18:10:00	3272.000	3273.000	3269.000	3270.500	455	2387	500
2018.01.03	09:00:00	3263.000	3264.500	3259.000	3264.500	3890	12164	500
2018.01.03	09:05:00	3264.000	3266.000	3263.000	3264.500	2869	7991	500
2018.01.03	09:10:00	3264.000	3267.000	3264.000	3264.500	2613	7777	500
2018.01.03	09:15:00	3265.000	3268.000	3264.000	3267.500	2380	6839	500
2018.01.03	09:20:00	3267.000	3269.000	3265.500	3266.500	2744	7783	500
2018.01.03	09:25:00	3267.000	3269.000	3266.500	3268.000	1391	3654	500
2018.01.03	09:30:00	3268.000	3270.000	3267.000	3269.000	1703	4993	500
2018.01.03	09:35:00	3269.000	3272.500	3269.000	3272.000	5083	14950	500
2018.01.03	09:40:00	3272.000	3272.500	3270.000	3270.000	1984	5676	500
2018.01.03	09:45:00	3270.000	3271.000	3264.500	3265.000	5264	14794	500
2018.01.03	09:50:00	3264.500	3266.000	3263.500	3265.000	3797	11483	500
2018.01.03	09:55:00	3265.000	3266.500	3264.000	3265.000	1620	5370	500
2018.01.03	10:00:00	3264.500	3265.500	3260.500	3261.500	4301	13115	500
2018.01.03	10:05:00	3261.500	3261.500	3256.500	3258.000	5453	16834	500
2018.01.03	10:10:00	3258.000	3259.500	3257.000	3259.000	2610	8257	500
2018.01.03	10:15:00	3259.000	3262.000	3258.500	3262.000	3176	8761	500
2018.01.03	10:20:00	3262.000	3262.000	3258.500	3261.000	2748	7474	500
2018.01.03	10:25:00	3261.000	3262.000	3260.000	3260.500	948	2349	500
2018.01.03	10:30:00	3260.500	3263.000	3260.500	3262.500	1796	4968	500
2018.01.03	10:35:00	3263.000	3263.500	3261.000	3262.000	2302	6331	500
2018.01.03	10:40:00	3262.000	3263.500	3261.000	3262.500	1085	3008	500
2018.01.03	10:45:00	3263.000	3263.000	3259.500	3260.500	1800	4748	500
2018.01.03	10:50:00	3260.000	3264.000	3260.000	3263.500	2227	6640	500
2018.01.03	10:55:00	3263.500	3267.500	3263.000	3267.000	5247	16472	500
2018.01.03	11:00:00	3266.500	3270.000	3264.500	3269.000	4557	13973	500
2018.01.03	11:05:00	3269.000	3276.000	3269.000	3275.500	6748	20108	500
2018.01.03	11:10:00	3275.500	3275.500	3273.000	3274.500	3011	9255	500
2018.01.03	11:15:00	3274.000	3275.000	3272.500	3274.000	2444	7326	500
2018.01.03	11:20:00	3274.000	3277.500	3272.000	3276.500	4338	13710	500
2018.01.03	11:25:00	3276.500	3276.500	3273.000	3273.000	2433	7644	500
2018.01.03	11:30:00	3273.000	3273.500	3269.500	3269.500	4773	16162	500
2018.01.03	11:35:00	3269.500	3270.500	3265.500	3267.500	4359	13667	500
2018.01.03	11:40:00	3267.000	3269.500	3267.000	3268.000	2198	7277	500
2018.01.03	11:45:00	3267.500	3268.500	3265.000	3266.500	2642	8143	500
2018.01.03	11:50:00	3266.000	3266.500	3264.000	3265.500	2281	6996	500
2018.01.03	11:55:00	3266.000	3266.500	3263.500	3264.000	1359	3534	500
2018.01.03	12:00:00	3264.500	3266.500	3264.000	3265.500	1775	5668	500
2018.01.03	12:05:00	3265.500	3266.000	3264.000	3265.000	1252	3802	500
2018.01.03	12:10:00	3265.000	3265.000	3261.500	3263.000	2633	8054	500
2018.01.03	12:15:00	3262.500	3263.000	3260.500	3261.500	1796	5379	500
2018.01.03	12:20:00	3262.000	3264.000	3261.000	3262.500	1805	5973	500
2018.01.03	12:25:00	3262.500	3263.000	3261.000	3262.000	1063	3774	500
2018.01.03	12:30:00	3262.000	3262.500	3261.000	3262.500	785	2628	500
2018.01.03	12:35:00	3262.500	3263.000	3261.500	3262.500	656	1930	500
2018.01.03	12:40:00	3262.500	3265.500	3262.500	3264.000	2127	7045	500
2018.01.03	12:45:00	3264.000	3265.000	3263.000	3263.500	1423	5478	500
2018.01.03	12:50:00	3263.000	3263.500	3261.000	3261.500	1160	4013	500
2018.01.03	12:55:00	3261.500	3262.000	3259.000	3262.000	1998	6894	500
2018.01.03	13:00:00	3262.000	3264.000	3261.000	3263.500	2215	8731	500
2018.01.03	13:05:00	3263.500	3266.500	3262.500	3266.500	2730	10378	500
2018.01.03	13:10:00	3266.500	3267.500	3263.500	3267.000	3686	15265	500
2018.01.03	13:15:00	3267.500	3269.500	3266.500	3267.500	3026	11595	500
2018.01.03	13:20:00	3267.500	3271.000	3267.000	3269.500	1887	7806	500
2018.01.03	13:25:00	3269.500	3270.500	3269.000	3269.500	733	2792	500
2018.01.03	13:30:00	3269.500	3270.000	3267.500	3268.000	1235	4638	500
2018.01.03	13:35:00	3268.000	3268.000	3265.500	3267.000	1632	5768	500
2018.01.03	13:40:00	3267.000	3268.500	3266.500	3268.500	904	3484	500
2018.01.03	13:45:00	3268.000	3269.000	3263.500	3265.500	2491	9440	500
2018.01.03	13:50:00	3265.000	3267.000	3264.500	3266.000	708	2777	500
2018.01.03	13:55:00	3266.500	3267.500	3263.500	3264.000	1617	6071	500
2018.01.03	14:00:00	3264.500	3264.500	3262.000	3263.000	1823	7317	0
2018.01.03	14:05:00	3263.000	3263.500	3260.000	3261.000	1986	7938	500
2018.01.03	14:10:00	3261.000	3263.000	3261.000	3262.500	1356	5708	500
2018.01.03	14:15:00	3262.500	3263.000	3261.500	3262.500	777	3116	500
2018.01.03	14:20:00	3262.500	3264.500	3262.000	3264.000	1163	4688	500
2018.01.03	14:25:00	3264.000	3265.000	3262.500	3263.000	1136	4667	500
2018.01.03	14:30:00	3262.500	3263.000	3261.500	3262.000	715	2741	500
2018.01.03	14:35:00	3262.000	3262.500	3259.000	3260.500	2373	8658	500
2018.01.03	14:40:00	3260.500	3260.500	3258.000	3259.000	1679	5956	500
2018.01.03	14:45:00	3259.000	3259.500	3252.500	3255.000	5529	20090	500
2018.01.03	14:50:00	3255.000	3256.000	3253.500	3256.000	1405	4850	500
2018.01.03	14:55:00	3256.000	3256.000	3253.000	3254.000	1396	5426	500
2018.01.03	15:00:00	3254.000	3255.500	3253.000	3255.500	1077	3920	500
2018.01.03	15:05:00	3255.000	3256.000	3254.000	3254.500	1096	4623	500
2018.01.03	15:10:00	3254.500	3254.500	3252.500	3254.500	1395	5459	500
2018.01.03	15:15:00	3254.500	3254.500	3253.000	3254.000	569	2642	500
2018.01.03	15:20:00	3254.000	3257.000	3254.000	3255.000	1664	6404	500
2018.01.03	15:25:00	3255.500	3256.500	3254.000	3254.500	982	5049	500
2018.01.03	15:30:00	3254.000	3255.500	3253.500	3254.000	810	2767	500
2018.01.03	15:35:00	3254.000	3255.500	3253.500	3254.500	521	2067	500
2018.01.03	15:40:00	3254.500	3256.500	3254.500	3256.500	590	2235	500
2018.01.03	15:45:00	3256.000	3257.000	3255.000	3255.500	837	3375	500
2018.01.03	15:50:00	3256.000	3256.000	3252.000	3252.500	1582	6032	500
2018.01.03	15:55:00	3252.500	3253.000	3251.000	3252.000	1590	5564	500
2018.01.03	16:00:00	3252.000	3252.500	3250.500	3252.000	1203	4196	500
2018.01.03	16:05:00	3252.000	3252.500	3250.500	3251.500	722	2949	500
2018.01.03	16:10:00	3251.500	3252.000	3249.000	3249.500	1310	4676	500
2018.01.03	16:15:00	3249.000	3252.000	3249.000	3252.000	1740	6312	500
2018.01.03	16:20:00	3251.500	3253.000	3251.000	3251.500	1076	4115	500
2018.01.03	16:25:00	3251.500	3254.000	3250.500	3253.500	1347	4819	500
2018.01.03	16:30:00	3253.500	3254.000	3252.500	3253.500	639	2540	500
2018.01.03	16:35:00	3254.000	3254.000	3252.000	3253.000	695	2753	500
2018.01.03	16:40:00	3252.500	3253.500	3252.000	3253.000	409	1745	500
2018.01.03	16:45:00	3253.000	3254.000	3252.000	3252.500	839	3073	500
2018.01.03	16:50:00	3252.500	3252.500	3250.500	3251.000	863	3130	500
2018.01.03	16:55:00	3251.000	3251.500	3246.500	3247.000	2597	9549	500
2018.01.03	17:00:00	3247.500	3251.000	3244.000	3251.000	2969	11818	500
2018.01.03	17:05:00	3251.000	3253.000	3250.000	3253.000	1709	6662	500
2018.01.03	17:10:00	3253.000	3257.000	3252.500	3253.500	2606	10109	500
2018.01.03	17:15:00	3254.000	3257.000	3254.000	3255.000	1421	5934	500
2018.01.03	17:20:00	3255.000	3256.000	3253.000	3255.000	1031	4345	500
2018.01.03	17:25:00	3255.000	3255.500	3253.500	3254.000	615	2644	500
2018.01.03	17:30:00	3254.500	3257.000	3253.500	3256.500	947	3932	500
2018.01.03	17:35:00	3256.500	3257.000	3252.500	3253.000	1063	4097	500
2018.01.03	17:40:00	3253.500	3254.000	3249.000	3249.000	1169	4928	500
2018.01.03	17:45:00	3249.000	3249.000	3247.000	3248.500	918	3654	500
2018.01.03	17:50:00	3249.000	3250.500	3247.000	3250.000	489	1812	500
2018.01.03	17:55:00	3250.500	3250.500	3248.500	3249.500	352	1449	500
2018.01.03	18:00:00	3250.000	3250.000	3248.000	3248.500	204	967	500
2018.01.03	18:05:00	3248.500	3249.000	3244.000	3246.000	521	2255	500
2018.01.03	18:10:00	3246.500	3248.000	3244.000	3247.500	410	1444	500
2018.01.04	09:00:00	3244.500	3245.500	3240.500	3241.000	3367	11182	500
2018.01.04	09:05:00	3241.500	3247.500	3241.000	3246.500	3699	9694	500
2018.01.04	09:10:00	3246.500	3248.000	3245.500	3247.000	2298	6321	500
2018.01.04	09:15:00	3246.500	3248.500	3245.500	3248.000	2124	6234	500
2018.01.04	09:20:00	3248.000	3249.000	3245.000	3245.000	2356	6638	500
2018.01.04	09:25:00	3245.000	3245.500	3243.500	3244.500	2745	8101	500
2018.01.04	09:30:00	3245.000	3247.000	3244.500	3246.000	1764	4804	500
2018.01.04	09:35:00	3246.000	3246.500	3244.500	3245.500	1241	4220	500
2018.01.04	09:40:00	3245.500	3245.500	3244.500	3245.000	533	1545	500
2018.01.04	09:45:00	3245.500	3245.500	3242.000	3243.000	3091	8904	500
2018.01.04	09:50:00	3242.500	3243.000	3239.000	3240.500	4098	11336	500
2018.01.04	09:55:00	3240.000	3241.000	3237.500	3238.000	3987	11591	500
2018.01.04	10:00:00	3238.000	3240.500	3237.500	3239.000	2498	8161	500
2018.01.04	10:05:00	3239.500	3240.500	3238.500	3240.000	1433	4385	500
2018.01.04	10:10:00	3240.000	3241.000	3239.500	3241.000	2210	7479	500
2018.01.04	10:15:00	3241.000	3243.500	3240.500	3242.500	3707	11889	500
2018.01.04	10:20:00	3242.000	3244.000	3242.000	3242.500	1863	6693	500
2018.01.04	10:25:00	3243.000	3245.500	3242.500	3245.000	2728	7886	500
2018.01.04	10:30:00	3244.500	3248.000	3244.500	3246.500	2530	7816	500
2018.01.04	10:35:00	3247.000	3247.500	3245.500	3246.500	2818	8484	500
2018.01.04	10:40:00	3246.000	3247.000	3243.500	3245.500	3275	9175	500
2018.01.04	10:45:00	3245.500	3247.500	3244.500	3247.000	2349	6650	500
2018.01.04	10:50:00	3246.500	3248.000	3246.500	3247.000	1541	4342	500
2018.01.04	10:55:00	3247.000	3247.000	3245.000	3245.000	1725	5116	500
2018.01.04	11:00:00	3245.000	3247.500	3243.500	3247.000	3149	9324	500
2018.01.04	11:05:00	3247.000	3248.000	3245.000	3248.000	2264	7242	500
2018.01.04	11:10:00	3248.000	3249.500	3247.500	3248.500	3258	9016	500
2018.01.04	11:15:00	3248.500	3251.500	3247.000	3247.500	5092	15380	500
2018.01.04	11:20:00	3247.000	3250.000	3247.000	3249.000	2500	8456	500
2018.01.04	11:25:00	3249.000	3251.000	3247.500	3248.000	2633	8296	500
2018.01.04	11:30:00	3248.000	3252.000	3247.000	3251.500	3086	10337	500
2018.01.04	11:35:00	3251.500	3254.000	3251.000	3252.000	3904	13427	0
2018.01.04	11:40:00	3251.500	3252.500	3250.000	3250.500	2308	6393	500
2018.01.04	11:45:00	3250.500	3250.500	3246.500	3247.500	3848	11589	500
2018.01.04	11:50:00	3247.000	3249.500	3246.500	3249.000	2369	8230	500
2018.01.04	11:55:00	3249.000	3249.500	3247.500	3248.000	1239	4831	500
2018.01.04	12:00:00	3248.000	3248.500	3244.000	3244.000	2924	9534	500
2018.01.04	12:05:00	3244.500	3245.000	3242.500	3244.000	3964	13169	500
2018.01.04	12:10:00	3243.500	3244.000	3240.500	3242.000	2385	7780	500
2018.01.04	12:15:00	3241.500	3242.000	3239.500	3240.500	2560	8761	500
2018.01.04	12:20:00	3240.500	3243.500	3240.000	3242.500	2355	8415	500
2018.01.04	12:25:00	3242.500	3244.000	3240.500	3241.000	1836	7653	500
2018.01.04	12:30:00	3241.000	3242.000	3238.000	3239.500	2453	9481	500
2018.01.04	12:35:00	3239.500	3240.500	3238.000	3239.500	1672	6361	500
2018.01.04	12:40:00	3239.500	3241.500	3239.000	3241.000	1325	5128	500
2018.01.04	12:45:00	3241.500	3244.000	3241.000	3242.500	2061	8240	500
2018.01.04	12:50:00	3243.000	3245.500	3242.000	3244.000	1905	7231	500
2018.01.04	12:55:00	3244.500	3245.000	3241.500	3241.500	1555	5387	500
