<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.02	09:00:00	4508.500	4508.500	4497.500	4500.000	9841	33252	0
2020.03.02	09:05:00	4500.000	4503.500	4490.500	4496.000	9651	33562	500
2020.03.02	09:10:00	4495.500	4500.500	4494.500	4499.000	6479	22901	500
2020.03.02	09:15:00	4499.000	4501.000	4485.000	4490.000	13917	42199	500
2020.03.02	09:20:00	4489.500	4497.000	4489.000	4497.000	7414	24771	500
2020.03.02	09:25:00	4497.000	4498.500	4494.000	4494.500	6606	19942	500
2020.03.02	09:30:00	4494.000	4504.500	4492.000	4503.000	10304	32564	500
2020.03.02	09:35:00	4503.000	4504.500	4492.500	4500.500	9981	31786	500
2020.03.02	09:40:00	4501.000	4507.500	4498.500	4506.500	7718	27848	500
2020.03.02	09:45:00	4507.000	4508.500	4501.500	4504.500	7549	24435	500
2020.03.02	09:50:00	4504.500	4505.000	4496.000	4497.000	6240	21770	500
2020.03.02	09:55:00	4497.000	4497.000	4491.000	4494.000	6624	21194	500
2020.03.02	10:00:00	4494.000	4498.500	4493.000	4495.000	5927	18940	500
2020.03.02	10:05:00	4495.000	4499.500	4494.000	4498.500	4573	15654	500
2020.03.02	10:10:00	4499.000	4501.000	4497.000	4497.500	4680	16948	500
2020.03.02	10:15:00	4497.500	4503.000	4496.000	4501.500	5458	18188	500
2020.03.02	10:20:00	4502.000	4507.000	4501.500	4503.500	5297	19624	500
2020.03.02	10:25:00	4504.000	4508.500	4503.500	4505.000	5677	18933	500
2020.03.02	10:30:00	4505.000	4507.500	4502.000	4502.500	4207	14542	500
2020.03.02	10:35:00	4502.000	4506.500	4502.000	4506.000	3328	12788	500
2020.03.02	10:40:00	4505.500	4512.000	4504.000	4510.500	8229	27732	500
2020.03.02	10:45:00	4510.500	4512.000	4506.500	4507.000	4989	16120	500
2020.03.02	10:50:00	4506.500	4507.500	4503.500	4505.000	4462	15076	500
2020.03.02	10:55:00	4505.000	4506.500	4500.000	4504.000	6809	23586	500
2020.03.02	11:00:00	4503.500	4505.000	4497.500	4498.500	6222	24015	500
2020.03.02	11:05:00	4498.000	4504.000	4498.000	4500.500	4786	16775	500
2020.03.02	11:10:00	4500.500	4504.500	4499.500	4502.000	3324	12820	500
2020.03.02	11:15:00	4501.500	4503.500	4500.000	4502.000	2505	9479	500
2020.03.02	11:20:00	4502.000	4504.000	4500.000	4503.500	1635	5877	500
2020.03.02	11:25:00	4504.000	4506.500	4502.000	4505.000	4088	12705	500
2020.03.02	11:30:00	4505.500	4510.000	4503.000	4509.500	5949	20655	500
2020.03.02	11:35:00	4509.500	4511.500	4505.500	4508.500	7641	27993	500
2020.03.02	11:40:00	4508.500	4512.000	4506.500	4508.500	5195	18877	500
2020.03.02	11:45:00	4508.500	4512.000	4506.500	4510.000	5490	19673	500
2020.03.02	11:50:00	4509.500	4511.500	4508.000	4509.000	4006	14870	500
2020.03.02	11:55:00	4509.000	4510.000	4505.500	4508.500	3200	12145	500
2020.03.02	12:00:00	4508.500	4509.500	4505.500	4506.000	2757	11848	500
2020.03.02	12:05:00	4506.000	4510.500	4505.500	4508.500	2690	9676	500
2020.03.02	12:10:00	4509.000	4509.500	4505.500	4505.500	2630	10414	500
2020.03.02	12:15:00	4505.500	4509.000	4505.000	4508.000	2723	9510	500
2020.03.02	12:20:00	4508.500	4514.500	4508.000	4510.000	6629	21825	500
2020.03.02	12:25:00	4510.000	4511.000	4505.500	4505.500	3351	11357	500
2020.03.02	12:30:00	4506.000	4508.000	4505.000	4506.500	2762	9057	500
2020.03.02	12:35:00	4506.000	4506.500	4503.500	4504.000	2513	8102	500
2020.03.02	12:40:00	4504.000	4508.000	4503.500	4507.500	2469	9590	500
2020.03.02	12:45:00	4507.500	4509.000	4506.500	4507.000	1952	8251	500
2020.03.02	12:50:00	4507.500	4507.500	4503.000	4504.000	2557	10593	500
2020.03.02	12:55:00	4503.500	4504.500	4498.500	4499.500	4240	16195	500
2020.03.02	13:00:00	4500.000	4501.500	4498.000	4499.000	3423	13733	500
2020.03.02	13:05:00	4499.000	4500.000	4491.500	4495.000	5943	20834	500
